time,step,running_loss,val_accurate
2023-02-23 14:57:20.453498,92,0.21416204702109098,0.35
2023-02-23 14:57:23.437172,93,0.18694756971672177,0.35
2023-02-23 14:57:26.389617,94,0.1667889654636383,0.35
2023-02-23 14:57:29.435764,95,0.14885588851757348,0.35
2023-02-23 14:57:32.435056,96,0.1328417705371976,0.35
2023-02-23 14:57:35.387487,97,0.1167322585824877,0.35
2023-02-23 14:57:38.324296,98,0.10459325974807143,0.35
2023-02-23 14:57:41.276733,99,0.09479775209911168,0.35
2023-02-23 14:57:44.244784,100,0.08583536930382252,0.35
2023-02-23 14:57:47.212834,101,0.07924894127063453,0.35
2023-02-23 14:57:50.368342,102,0.07388844690285623,0.35
2023-02-23 14:57:53.383258,103,0.0692471155198291,0.35
2023-02-23 14:57:56.429417,104,0.06513266265392303,0.35
2023-02-23 14:57:59.600552,105,0.061426803353242576,0.35
2023-02-23 14:58:02.787301,106,0.05819507560227066,0.35
2023-02-23 14:58:06.083403,107,0.05471544072497636,0.35
2023-02-23 14:58:09.426365,108,0.05165637470781803,0.35
2023-02-23 14:58:12.863055,109,0.0489640177693218,0.35
2023-02-23 14:58:16.377859,110,0.04657640296500176,0.35
2023-02-23 14:58:20.033244,111,0.04441164596937597,0.35
2023-02-23 14:58:23.891717,112,0.042426104890182614,0.35
2023-02-23 14:58:27.750186,113,0.040579955268185586,0.35
2023-02-23 14:58:31.764867,114,0.038870143704116344,0.35
2023-02-23 14:58:35.748305,115,0.037271020701155066,0.35
2023-02-23 14:58:39.716154,116,0.03576204227283597,0.35
2023-02-23 14:58:43.621452,117,0.034331919567193836,0.35
2023-02-23 14:58:47.511161,118,0.032997090893331915,0.35
2023-02-23 14:58:51.416503,119,0.03172752325190231,0.35
2023-02-23 14:58:55.306213,120,0.03054305026307702,0.35
2023-02-23 14:58:59.133435,121,0.02943025471176952,0.35
2023-02-23 14:59:03.007523,122,0.02838165609864518,0.35
2023-02-23 14:59:06.865988,123,0.02738691261038184,0.35
2023-02-23 14:59:10.740076,124,0.026445315161254257,0.35
2023-02-23 14:59:14.629786,125,0.025553188112098724,0.35
2023-02-23 14:59:18.472640,126,0.024714933417271823,0.35
2023-02-23 14:59:22.346727,127,0.023910218384116888,0.35
2023-02-23 14:59:26.189577,128,0.023148670850787312,0.35
2023-02-23 14:59:29.923068,129,0.022423400776460767,0.35
2023-02-23 14:59:33.547220,130,0.021729648462496698,0.35
2023-02-23 14:59:36.999530,131,0.021067062218207866,0.35
2023-02-23 14:59:40.436228,132,0.020433743542525917,0.35
2023-02-23 14:59:43.747947,133,0.019830169418128207,0.35
2023-02-23 14:59:46.981561,134,0.019258249056292698,0.35
2023-02-23 14:59:50.183933,135,0.018704652495216578,0.35
2023-02-23 14:59:53.308196,136,0.018177470774389803,0.35
2023-02-23 14:59:56.369977,137,0.01767266189563088,0.35
2023-02-23 14:59:59.400517,138,0.017192133993376046,0.35
2023-02-23 15:00:02.415433,139,0.016733387077692896,0.35
2023-02-23 15:00:05.367866,140,0.01629666131339036,0.35
2023-02-23 15:00:08.304672,141,0.015876242861850187,0.35
2023-02-23 15:00:11.288347,142,0.01547332140034996,0.35
2023-02-23 15:00:14.240780,143,0.015085039427503943,0.35
2023-02-23 15:00:17.161965,144,0.014711875555804,0.35
2023-02-23 15:00:20.129127,145,0.014355736784636974,0.35
2023-02-23 15:00:23.097185,146,0.014009359641931951,0.35
2023-02-23 15:00:26.143339,147,0.013675599911948666,0.35
2023-02-23 15:00:29.111396,148,0.013354936381801963,0.35
2023-02-23 15:00:32.173171,149,0.013044392864685506,0.35
2023-02-23 15:00:35.313058,150,0.012746708176564425,0.35
2023-02-23 15:00:38.406086,151,0.012456405791454017,0.35
2023-02-23 15:00:41.740161,152,0.012176460848422721,0.35
2023-02-23 15:00:45.005017,153,0.011905565479537472,0.35
2023-02-23 15:00:48.363601,154,0.01164288551080972,0.35
2023-02-23 15:00:51.753438,155,0.011390923289582133,0.35
2023-02-23 15:00:55.252608,156,0.011143485869979486,0.35
2023-02-23 15:00:58.845554,157,0.01090509798086714,0.35
2023-02-23 15:01:02.563391,158,0.010673855125787668,0.35
2023-02-23 15:01:06.359376,159,0.010450233865412883,0.35
2023-02-23 15:01:10.268334,160,0.010231614287476987,0.35
2023-02-23 15:01:14.189287,161,0.010020020607043989,0.35
2023-02-23 15:01:18.094618,162,0.00981438159942627,0.35
2023-02-23 15:01:22.203030,163,0.009614459093427286,0.35
2023-02-23 15:01:26.248958,164,0.0094209679227788,0.35
2023-02-23 15:01:30.154285,165,0.00923140715167392,0.35
2023-02-23 15:01:34.043995,166,0.00904744360013865,0.35
2023-02-23 15:01:37.871221,167,0.008869078126735985,0.35
2023-02-23 15:01:41.760931,168,0.00869607288041152,0.35
2023-02-23 15:01:45.666264,169,0.008525925673893653,0.35
2023-02-23 15:01:49.524734,170,0.008361376414541155,0.35
2023-02-23 15:01:53.226987,171,0.00819992390461266,0.35
2023-02-23 15:01:56.851135,172,0.008044070054893382,0.35
2023-02-23 15:02:00.381554,173,0.007892504552728496,0.35
2023-02-23 15:02:03.755767,174,0.007743201989796944,0.35
2023-02-23 15:02:07.067491,175,0.0075980682304361835,0.35
2023-02-23 15:02:10.332341,176,0.007456746490788646,0.35
2023-02-23 15:02:13.503516,177,0.007319117517909035,0.35
2023-02-23 15:02:16.627735,178,0.007184466740000062,0.35
2023-02-23 15:02:19.720759,179,0.007053032095427625,0.35
2023-02-23 15:02:22.751300,180,0.0069244561600498855,0.35
2023-02-23 15:02:25.734975,181,0.006800050177844241,0.35
2023-02-23 15:02:28.687406,182,0.006677430865238421,0.35
2023-02-23 15:02:31.624211,183,0.006558147302712314,0.35
2023-02-23 15:02:34.568509,184,0.0064417227113153785,0.35
2023-02-23 15:02:37.474070,185,0.006327919094474055,0.35
2023-02-23 15:02:40.426505,186,0.006217332251253538,0.35
2023-02-23 15:02:43.347693,187,0.006108174900873564,0.35
2023-02-23 15:02:46.284500,188,0.00600211504206527,0.35
2023-02-23 15:02:49.236932,189,0.005898199728108011,0.35
2023-02-23 15:02:52.173745,190,0.005797024590719957,0.35
2023-02-23 15:02:55.173037,191,0.005697279048035853,0.35
2023-02-23 15:02:58.219196,192,0.00559991633053869,0.35
2023-02-23 15:03:01.343465,193,0.0055048172871465795,0.35
2023-02-23 15:03:04.483352,194,0.0054118629050208256,0.35
2023-02-23 15:03:07.873176,195,0.005321053082298022,0.35
2023-02-23 15:03:11.184902,196,0.005231196373642888,0.35
2023-02-23 15:03:14.512246,197,0.0051440800380078144,0.35
2023-02-23 15:03:17.917691,198,0.005058989343524445,0.35
2023-02-23 15:03:21.432488,199,0.004975685791578144,0.35
2023-02-23 15:03:25.009776,200,0.004893692857876886,0.35
2023-02-23 15:03:28.743278,201,0.004813487204955891,0.35
